step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
0,1763450775.096003,0.784500,-1.331900,-2.327500,-1.066600,1.645400,-0.717200,0.899299,-1.401546,-2.277561,-1.056286,1.633746,-0.641808
1,1763450775.142167,0.784500,-1.331200,-2.328100,-1.066200,1.645400,-0.721500,0.899134,-1.401351,-2.277709,-1.056303,1.633753,-0.642039
2,1763450775.191618,0.784600,-1.330700,-2.328700,-1.065700,1.645400,-0.724800,0.899078,-1.401286,-2.277758,-1.056309,1.633755,-0.642118
3,1763450775.237452,0.784700,-1.330100,-2.329100,-1.065500,1.645300,-0.727400,0.899007,-1.401212,-2.277814,-1.056319,1.633757,-0.642208
4,1763450775.286101,0.784700,-1.329800,-2.329300,-1.065500,1.645300,-0.730100,0.898965,-1.401168,-2.277848,-1.056325,1.633759,-0.642262
5,1763450775.330947,0.784700,-1.329700,-2.329400,-1.065700,1.645400,-0.731900,0.898919,-1.401121,-2.277884,-1.056332,1.633760,-0.642320
6,1763450775.380304,0.784600,-1.329800,-2.329200,-1.066000,1.645700,-0.733500,0.898886,-1.401088,-2.277910,-1.056336,1.633761,-0.642362
7,1763450775.424638,0.784500,-1.329900,-2.329000,-1.066400,1.645800,-0.734500,0.898834,-1.401035,-2.277949,-1.056345,1.633762,-0.642429
8,1763450775.474780,0.784400,-1.330000,-2.329000,-1.066500,1.645900,-0.734700,0.898793,-1.400994,-2.277980,-1.056351,1.633763,-0.642480
9,1763450775.517711,0.784400,-1.330000,-2.328900,-1.066600,1.646000,-0.735100,0.898743,-1.400944,-2.278018,-1.056359,1.633764,-0.642544
10,1763450775.569355,0.784600,-1.330000,-2.328900,-1.066700,1.645700,-0.735100,0.898703,-1.400903,-2.278049,-1.056365,1.633764,-0.642597
11,1763450775.612207,0.784800,-1.330100,-2.328800,-1.067000,1.645400,-0.735600,0.898666,-1.400865,-2.278077,-1.056371,1.633765,-0.642646
12,1763450775.664858,0.785000,-1.330000,-2.328700,-1.068100,1.645200,-0.737400,0.898634,-1.400833,-2.278102,-1.056375,1.633765,-0.642688
13,1763450775.709686,0.785000,-1.330100,-2.328400,-1.069100,1.645100,-0.738400,0.897953,-1.399880,-2.278772,-1.056464,1.633744,-0.643790
14,1763450775.760051,0.785000,-1.330100,-2.328300,-1.069400,1.645000,-0.738600,0.897385,-1.399073,-2.279336,-1.056536,1.633727,-0.644716
15,1763450775.803420,0.785100,-1.330200,-2.328300,-1.069600,1.644900,-0.738900,0.898509,-1.399804,-2.278493,-1.056165,1.633767,-0.643908
16,1763450775.854135,0.785200,-1.330200,-2.328200,-1.070100,1.644700,-0.739600,0.899499,-1.400447,-2.277752,-1.055840,1.633802,-0.643190
17,1763450775.898105,0.785200,-1.330300,-2.327900,-1.071400,1.644000,-0.740100,0.900655,-1.401303,-2.276878,-1.055502,1.633837,-0.642116
18,1763450775.947781,0.785400,-1.330000,-2.327700,-1.073500,1.643300,-0.743300,0.901691,-1.402071,-2.276095,-1.055202,1.633867,-0.641152
19,1763450775.994623,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.902623,-1.402761,-2.275390,-1.054931,1.633894,-0.640286
20,1763450776.042313,0.785700,-1.329100,-2.327700,-1.076700,1.642300,-0.751800,0.903043,-1.403001,-2.275054,-1.054766,1.633920,-0.640160
21,1763450776.090465,0.786200,-1.327600,-2.328000,-1.081300,1.640800,-0.765100,0.903423,-1.403218,-2.274749,-1.054617,1.633942,-0.640048
22,1763450776.136476,0.793000,-1.327500,-2.326100,-1.093200,1.631300,-0.790100,0.903772,-1.403417,-2.274470,-1.054480,1.633962,-0.639942
23,1763450776.188823,0.800200,-1.330200,-2.322700,-1.102100,1.623100,-0.788900,0.904091,-1.403599,-2.274215,-1.054355,1.633980,-0.639845
24,1763450776.231543,0.804300,-1.332300,-2.320500,-1.106100,1.618800,-0.783200,0.904385,-1.403766,-2.273981,-1.054241,1.633997,-0.639754
25,1763450776.287944,0.809400,-1.335100,-2.318100,-1.109000,1.614900,-0.777100,0.905466,-1.404572,-2.273191,-1.053828,1.634146,-0.639394
26,1763450776.333323,0.814900,-1.337900,-2.315600,-1.109300,1.613900,-0.773200,0.906136,-1.404988,-2.272694,-1.053504,1.634282,-0.639688
27,1763450776.384399,0.820100,-1.340000,-2.314000,-1.109100,1.615300,-0.777300,0.906810,-1.405412,-2.272207,-1.053192,1.634406,-0.639865
28,1763450776.429317,0.824500,-1.341500,-2.312700,-1.109500,1.616300,-0.784500,0.907384,-1.405751,-2.271819,-1.052913,1.634519,-0.640003
29,1763450776.478714,0.828400,-1.342600,-2.311800,-1.109700,1.615600,-0.793900,0.907919,-1.406068,-2.271457,-1.052653,1.634624,-0.640132
30,1763450776.525470,0.831900,-1.343700,-2.310900,-1.109900,1.614800,-0.802900,0.907860,-1.406074,-2.271456,-1.052679,1.634727,-0.640679
31,1763450776.573825,0.835400,-1.345100,-2.309700,-1.110400,1.613500,-0.809200,0.908406,-1.406404,-2.271099,-1.052442,1.634808,-0.640644
32,1763450776.619040,0.839300,-1.347000,-2.308100,-1.110800,1.612700,-0.811600,0.908929,-1.406728,-2.270745,-1.052209,1.634890,-0.640630
33,1763450776.671374,0.843500,-1.349400,-2.306200,-1.110700,1.612400,-0.812700,0.909398,-1.407015,-2.270424,-1.051993,1.634970,-0.640657
34,1763450776.716337,0.848100,-1.352300,-2.304100,-1.110400,1.612300,-0.811900,0.909843,-1.407287,-2.270118,-1.051790,1.635044,-0.640678
35,1763450776.767093,0.853400,-1.355500,-2.301700,-1.109500,1.612200,-0.809500,0.910264,-1.407556,-2.269824,-1.051619,1.635097,-0.640671
36,1763450776.813990,0.859500,-1.359100,-2.299100,-1.108500,1.612100,-0.805000,0.910795,-1.408174,-2.269333,-1.051397,1.635268,-0.640858
37,1763450776.858687,0.866300,-1.363200,-2.296200,-1.106700,1.612400,-0.798200,0.911207,-1.408663,-2.268909,-1.051253,1.635424,-0.640990
38,1763450776.905924,0.873900,-1.367900,-2.292800,-1.104700,1.612900,-0.789300,0.911702,-1.409212,-2.268461,-1.051050,1.635572,-0.641029
39,1763450776.962593,0.882300,-1.373400,-2.288900,-1.102200,1.612800,-0.776600,0.912173,-1.409735,-2.268034,-1.050856,1.635714,-0.641063
40,1763450777.005250,0.891000,-1.379200,-2.284800,-1.099400,1.614100,-0.764200,0.912544,-1.410143,-2.267664,-1.050733,1.635835,-0.641045
41,1763450777.055444,0.899700,-1.385300,-2.280200,-1.097200,1.615200,-0.750500,0.913020,-1.410669,-2.267269,-1.050565,1.635944,-0.640958
42,1763450777.102537,0.908100,-1.391300,-2.275700,-1.095300,1.616500,-0.736900,0.913452,-1.411156,-2.266895,-1.050401,1.636056,-0.640923
43,1763450777.155659,0.916100,-1.397200,-2.271100,-1.093200,1.617600,-0.724300,0.913894,-1.411622,-2.266560,-1.050239,1.636162,-0.640903
44,1763450777.202264,0.923800,-1.403400,-2.266300,-1.090800,1.618700,-0.712100,0.914314,-1.412095,-2.266199,-1.050085,1.636266,-0.640816
45,1763450777.248978,0.931100,-1.409400,-2.261300,-1.088500,1.619400,-0.700300,0.914773,-1.412592,-2.265822,-1.049925,1.636358,-0.640650
46,1763450777.298311,0.937900,-1.415300,-2.256400,-1.086500,1.620400,-0.689000,0.915189,-1.413254,-2.265295,-1.049716,1.636543,-0.640625
47,1763450777.342949,0.944300,-1.420600,-2.251500,-1.084400,1.621500,-0.679100,0.915617,-1.413921,-2.264769,-1.049515,1.636719,-0.640535
48,1763450777.394422,0.950200,-1.425800,-2.247000,-1.082100,1.622300,-0.670300,0.916026,-1.414562,-2.264265,-1.049321,1.636889,-0.640459
49,1763450777.437595,0.955500,-1.430600,-2.242700,-1.080000,1.622800,-0.662900,0.916376,-1.415128,-2.263785,-1.049183,1.637042,-0.640244
50,1763450777.490257,0.960400,-1.435300,-2.238800,-1.077800,1.623200,-0.656600,0.916771,-1.415668,-2.263384,-1.048997,1.637205,-0.640198
51,1763450777.534163,0.964900,-1.439600,-2.235200,-1.075900,1.623400,-0.651000,0.917300,-1.416335,-2.262857,-1.048801,1.637339,-0.639803
52,1763450777.588077,0.969000,-1.443800,-2.231700,-1.074100,1.623500,-0.646400,0.917704,-1.416911,-2.262372,-1.048665,1.637466,-0.639439
53,1763450777.630552,0.973000,-1.448000,-2.228200,-1.072600,1.623600,-0.642200,0.918162,-1.417490,-2.261945,-1.048488,1.637595,-0.639200
54,1763450777.684139,0.976700,-1.451900,-2.225000,-1.070800,1.623400,-0.638400,0.918398,-1.418391,-2.261230,-1.048364,1.637801,-0.639095
55,1763450777.728781,0.980400,-1.455600,-2.221900,-1.069100,1.623000,-0.634700,0.918622,-1.419232,-2.260566,-1.048247,1.637999,-0.639047
56,1763450777.782711,0.983800,-1.459300,-2.219000,-1.067300,1.622500,-0.630900,0.918943,-1.419777,-2.260050,-1.048136,1.638136,-0.638975
57,1763450777.826313,0.987100,-1.462900,-2.216200,-1.065500,1.622000,-0.627000,0.919313,-1.420716,-2.259302,-1.047990,1.638321,-0.638651
